objectid,parentid,title,creator,location,latitude,longitude,date,description,subject,source,transcriber,type,format,language,identifier,rights,rightsstatement,display_template,filename,object_transcript,image_small,image_thumb,object_location
sakaino011,sakaino009,"March 25, 1942 entry, page 2",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-005,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-005.jpg,/objects/mg387_1_7-005.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-005_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-005_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-005.jpg
sakaino012,sakaino009,"March 25, 1942 entry, page 3",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-006,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-006.jpg,/objects/mg387_1_7-006.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-006_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-006_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-006.jpg
sakaino013,sakaino009,"March 25, 1942 entry, page 4",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-007,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-007.jpg,/objects/mg387_1_7-007.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-007_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-007_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-007.jpg
sakaino014,sakaino009,"March 25, 1942 entry, page 5",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-008,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-008.jpg,/objects/mg387_1_7-008.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-008_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-008_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-008.jpg
sakaino015,sakaino009,"March 25, 1942 entry, page 6",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-009,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-009.jpg,/objects/mg387_1_7-009.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-009_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-009_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-009.jpg
sakaino016,sakaino009,"March 25, 1942 entry, page 7",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-010,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-010.jpg,/objects/mg387_1_7-010.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-010_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-010_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-010.jpg
sakaino017,sakaino009,"March 25, 1942 entry, page 8",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-011,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-011.jpg,/objects/mg387_1_7-011.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-011_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-011_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-011.jpg
sakaino018,sakaino009,"March 25, 1942 entry, page 9",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-012,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-012.jpg,/objects/mg387_1_7-012a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-012_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-012_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-012.jpg
sakaino019,,"March 26, 1942 entry",,"Fort Missoula, MT",46.844072,-114.061906,1942-03-26,"March 26, 1942, diary entry written by Bunro Sakaino while he was incarcerated at the Fort Missoula Internment Camp in Missoula, Montana.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,application/pdf,jpn; eng,mg387_1_7-1942-03-26,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-03-26.pdf,/objects/1942-03-26.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-03-26_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-03-26_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-03-26.pdf
sakaino020,sakaino019,"March 26, 1942 entry, page 1 (untranslated)",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-012,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-012.jpg,/objects/mg387_1_7-012b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-012_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-012_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-012.jpg
sakaino021,sakaino019,"March 26, 1942 entry, page 2",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-013,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-013.jpg,/objects/mg387_1_7-013.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-013_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-013_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-013.jpg
sakaino022,sakaino019,"March 26, 1942 entry, page 3",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-014,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-014.jpg,/objects/mg387_1_7-014.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-014_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-014_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-014.jpg
sakaino023,sakaino019,"March 26, 1942 entry, page 4",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn,mg387_1_7-015,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-015.jpg,/objects/mg387_1_7-015.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-015_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-015_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-015.jpg
sakaino024,sakaino019,"March 26, 1942 entry, page 5",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-016,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-016.jpg,/objects/mg387_1_7-016.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-016_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-016_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-016.jpg
sakaino025,sakaino019,"March 26, 1942 entry, page 6",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-017,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-017.jpg,/objects/mg387_1_7-017a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-017_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-017_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-017.jpg
sakaino026,,"March 27, 1942 entry","Sakaino, Bunro","Fort Missoula, MT",46.844072,-114.061906,1942-03-27,"March 27, 1942, diary entry written by Bunro Sakaino while he was incarcerated at the Fort Missoula Internment Camp in Missoula, Montana.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,application/pdf,jpn,mg387_1_7-1942-03-27,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-03-27.pdf,/objects/1942-03-27.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-03-27_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-03-27_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-03-27.pdf
sakaino027,sakaino026,"March 27, 1942 entry, page 1",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-017,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-017.jpg,/objects/mg387_1_7-017b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-017_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-017_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-017.jpg
sakaino028,sakaino026,"March 27, 1942 entry, page 2",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-018,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-018.jpg,/objects/mg387_1_7-018a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-018_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-018_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-018.jpg
sakaino029,,"March 28, 1942 entry","Sakaino, Bunro","Fort Missoula, MT",46.844072,-114.061906,1942-03-28,"March 28, 1942, diary entry written by Bunro Sakaino while he was incarcerated at the Fort Missoula Internment Camp in Missoula, Montana.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,application/pdf,jpn; eng,mg387_1_7-1942-03-28,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-03-28.pdf,/objects/1942-03-28.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-03-28_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-03-28_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-03-28.pdf
sakaino030,sakaino029,"March 28, 1942 entry, page 1",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-018,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-018.jpg,/objects/mg387_1_7-018b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-018_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-018_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-018.jpg
sakaino031,sakaino029,"March 28, 1942 entry, page 2",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-019,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-019.jpg,/objects/mg387_1_7-019.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-019_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-019_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-019.jpg
sakaino032,sakaino029,"March 28, 1942 entry, page 3",,,,,,,,,"transcribed and translated by Naoko Tanabe, 2024-25, from Denso densho.org",Text,image/jpeg,jpn; eng,mg387_1_7-020,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-020.jpg,/objects/mg387_1_7-020.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-020_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-020_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-020.jpg
